#;Dato;Titel;Type;Reactions;Comments;Reposts;Total engagement;Link
1;2026-09-14;2026 R2 is almost here, and it's our biggest AI release yet 🚀;carousel/document;43;0;7;50;https://www.linkedin.com/feed/update/urn:li:activity:7505230135697199104/
2;2026-09-11;Join us for a morning run through Paris! 🏃‍♀️;image;56;0;2;58;https://www.linkedin.com/feed/update/urn:li:activity:7504091003386171392/
3;2026-09-04;Thank you, Days of Knowledge ANZ 💡;multi-image (5);91;0;0;91;https://www.linkedin.com/feed/update/urn:li:activity:7501566572784771072/
4;2026-09-01;Protecting the world's water shouldn't mean drowning in paperwork 🌊;image;18;0;2;20;https://www.linkedin.com/feed/update/urn:li:activity:7500522912907460608/
5;2026-08-27;It's about time... we found out who's faster 🏃‍♀️;multi-image (9);99;0;0;99;https://www.linkedin.com/feed/update/urn:li:activity:7498714244956303360/
6;2026-08-21;Colleagues, vineyards, and a glass (or two) of wine 🍷;multi-image (11);82;2;0;84;https://www.linkedin.com/feed/update/urn:li:activity:7496515169880023040/
7;2026-08-18;It's about time you stopped doing these 5 things ⏳;carousel/document;36;2;1;39;https://www.linkedin.com/feed/update/urn:li:activity:7495449544915226624/
8;2026-08-12;12 free features your Business Central setup is missing 👀;carousel/document;41;0;5;46;https://www.linkedin.com/feed/update/urn:li:activity:7493277173751951360/
9;2026-08-06;We've got room left on the team! 👩‍💼;carousel/document;34;0;4;38;https://www.linkedin.com/feed/update/urn:li:activity:7491099509893156864/
10;2026-08-04;Your e-invoicing data is only as safe as your vendor;image;28;0;3;31;https://www.linkedin.com/feed/update/urn:li:activity:7490376084551577602/
11;2026-07-30;Every AP automation pitch this year sounds the same... 👀;image;21;0;2;23;https://www.linkedin.com/feed/update/urn:li:activity:7488564108284473345/
12;2026-07-28;We're back from a great DynamicsCon in Ghana 🌍;multi-image (2);63;2;2;67;https://www.linkedin.com/feed/update/urn:li:activity:7487839356519354369/
13;2026-07-27;Same Monday, two very different workdays 📅;image;30;0;1;31;https://www.linkedin.com/feed/update/urn:li:activity:7487476939503538177/
14;2026-07-23;The office is quiet. Why not spend the summer learning?;image;23;0;0;23;https://www.linkedin.com/feed/update/urn:li:activity:7486027425286533121/
15;2026-07-21;Separate accounts—but it's one relationship 🔗;image;33;1;5;39;https://www.linkedin.com/feed/update/urn:li:activity:7485302625081466880/
16;2026-07-16;More than 1,000 active Continia solutions 🏆;multi-image (5);119;1;8;128;https://www.linkedin.com/feed/update/urn:li:activity:7483490893254291456/
17;2026-07-14;Submitting expenses just got even easier!;carousel/document;37;5;8;50;https://www.linkedin.com/feed/update/urn:li:activity:7482762545431351296/
18;2026-07-08;See Continia in action, at your own pace 💡;image;36;1;4;41;https://www.linkedin.com/feed/update/urn:li:activity:7480591520149151744/
19;2026-07-01;It's about time... for an ice-cream break! 🍧;multi-image (6);70;1;0;71;https://www.linkedin.com/feed/update/urn:li:activity:7478062480389279744/
20;2026-06-29;Fake invoices don't always look fake 💡;image;23;0;3;26;https://www.linkedin.com/feed/update/urn:li:activity:7477333822297169922/
21;2026-06-23;Our biggest team meetup yet ☀️;multi-image (20);243;4;6;253;https://www.linkedin.com/feed/update/urn:li:activity:7475112920251772928/
22;2026-06-11;From a full-time AP person to automation in minutes 🎯;image;23;0;3;26;https://www.linkedin.com/feed/update/urn:li:activity:7470809611818905600/
23;2026-06-10;The Elevate tour continues — this time in Poland! 🙌;multi-image (20);71;1;0;72;https://www.linkedin.com/feed/update/urn:li:activity:7470444661824913410/
24;2026-06-09;Kicking off Continia Elevate in the UK 🎉;video;53;2;1;56;https://www.linkedin.com/feed/update/urn:li:activity:7470074789961973760/
25;2026-06-04;We're ISO 27001 certified 🎉;multi-image (10);195;2;1;198;https://www.linkedin.com/feed/update/urn:li:activity:7468284352783761408/
26;2026-06-02;It's about time ... we cycled to work 🚴‍♂️;multi-image (3);69;1;0;70;https://www.linkedin.com/feed/update/urn:li:activity:7467545726575759360/
27;2026-05-28;250 Continia-løsninger er en god grund til kage 🎂;multi-image (6);70;1;2;73;https://www.linkedin.com/feed/update/urn:li:activity:7465688326994460672/
28;2026-05-27;Thanks for a great time at DynamicsMinds! ☀️;multi-image (12);93;2;0;95;https://www.linkedin.com/feed/update/urn:li:activity:7465360837474566144/
29;2026-05-21;Continia is growing — swipe to find your next role 👇;carousel/document;42;0;0;42;https://www.linkedin.com/feed/update/urn:li:activity:7463196907054600192/
30;2026-05-20;Your BC setup is almost there. Why not upgrade it for free? 🚀;video;34;0;4;38;https://www.linkedin.com/feed/update/urn:li:activity:7462849736732082179/
31;2026-05-19;Continia Elevate comes to Warsaw! 🎉;image;47;4;2;53;https://www.linkedin.com/feed/update/urn:li:activity:7462472156136902656/
32;2026-05-15;That's a wrap on Directions ASIA 👋;multi-image (6);59;0;0;59;https://www.linkedin.com/feed/update/urn:li:activity:7460977299979509761/
