company,post_no,date,days_ago,type,reactions,comments,reposts,total_engagement,title,post_url,company_url
Yooz,1,2026-09-13,1,Link/Article,1,0,1,2,We're #hiring a new Full Stack Development Engineer (F/H) in Greater Montpe,https://www.linkedin.com/feed/update/urn:li:activity:7504863731185664000/,https://www.linkedin.com/company/yooz/posts/
Yooz,2,2026-09-12,2,Link/Article,3,0,2,5,We're #hiring a new Production Software Analyst (F/H) in Greater Montpellie,https://www.linkedin.com/feed/update/urn:li:activity:7504500310275551232/,https://www.linkedin.com/company/yooz/posts/
Yooz,3,2026-09-11,3,Image,0,0,0,0,Using AI is easy. Building a finance function that actually gets value from,https://www.linkedin.com/feed/update/urn:li:activity:7504086369930055681/,https://www.linkedin.com/company/yooz/posts/
Yooz,4,2026-09-10,4,Image,1,0,0,1,How much of your P2P process still depends on someone manually keeping it m,https://www.linkedin.com/feed/update/urn:li:activity:7503829840438034432/,https://www.linkedin.com/company/yooz/posts/
Yooz,5,2026-09-08,6,Link/Article,9,0,0,9,"La Ley Crea y Crece, #VeriFactu y la próxima implantación de la factura ele",https://www.linkedin.com/feed/update/urn:li:activity:7503240290388926464/,https://www.linkedin.com/company/yooz/posts/
Yooz,6,2026-09-06,8,Link/Article,4,0,4,8,We're #hiring a new Marketing Intern - Customer Marketing & AI Programs in,https://www.linkedin.com/feed/update/urn:li:activity:7502324205070340096/,https://www.linkedin.com/company/yooz/posts/
Yooz,7,2026-09-05,9,Link/Article,4,0,2,6,We're #hiring a new Gestionnaire de paie et administratif (F/H) - CDD in Ai,https://www.linkedin.com/feed/update/urn:li:activity:7501963368354906112/,https://www.linkedin.com/company/yooz/posts/
Yooz,8,2026-09-03,11,Video,10,0,0,10,"Supplier Statements Recon in seconds, not afternoons! Pencil. Ruler. Highli",https://www.linkedin.com/feed/update/urn:li:activity:7501358418901778433/,https://www.linkedin.com/company/yooz/posts/
Yooz,9,2026-08-30,15,Video,3,0,0,3,🚗 Prolongez l’été avec le Summer road trip Yooz — Étape 6 · Suisse 🏁 Dern,https://www.linkedin.com/feed/update/urn:li:activity:7499738442273284096/,https://www.linkedin.com/company/yooz/posts/
Yooz,10,2026-08-29,16,Link/Article,6,0,0,6,We're #hiring a new Customer Marketing Specialist (F/H) - CDD in Greater Mo,https://www.linkedin.com/feed/update/urn:li:activity:7499432084525203456/,https://www.linkedin.com/company/yooz/posts/
Yooz,11,2026-08-29,16,Video,3,0,2,5,Prolongez l’été avec le Summer road trip Yooz - Étape 5 · Allemagne 🚗 56 m,https://www.linkedin.com/feed/update/urn:li:activity:7499376064448626688/,https://www.linkedin.com/company/yooz/posts/
Yooz,12,2026-08-28,17,Video,3,0,0,3,Prolongez l’été avec le Summer road trip Yooz - Étape 4 · Luxembourg 🚗 12,https://www.linkedin.com/feed/update/urn:li:activity:7499013661445935105/,https://www.linkedin.com/company/yooz/posts/
Yooz,13,2026-08-27,18,Video,2,0,0,2,Prolongez l’été avec le Summer road trip Yooz - Étape 3 · Belgique Le Group,https://www.linkedin.com/feed/update/urn:li:activity:7498703920387526656/,https://www.linkedin.com/company/yooz/posts/
Yooz,14,2026-08-25,20,Video,1,0,0,1,Keep summer going with the Yooz Summer Road Trip - Stop 2 · United Kingdom,https://www.linkedin.com/feed/update/urn:li:activity:7497956573114404864/,https://www.linkedin.com/company/yooz/posts/
Yooz,15,2026-08-25,20,Image,4,0,1,5,"If your AI investment cannot prove its value, should finance be investing i",https://www.linkedin.com/feed/update/urn:li:activity:7497925962286768128/,https://www.linkedin.com/company/yooz/posts/
Yooz,16,2026-08-24,21,Video,2,0,0,2,Keep summer going with the Yooz Summer Road Trip - Stop 1 · España 🚗 La pa,https://www.linkedin.com/feed/update/urn:li:activity:7497646978600783872/,https://www.linkedin.com/company/yooz/posts/
Yooz,17,2026-08-22,23,Link/Article,10,0,2,12,We're #hiring a new Comptable Support Fonctionnel (F/H) in Greater Montpell,https://www.linkedin.com/feed/update/urn:li:activity:7496893906467405824/,https://www.linkedin.com/company/yooz/posts/
Yooz,18,2026-08-20,25,Image,11,3,2,16,Finance leaders do not need more AI. They need better AI decisions 🤔 AI in,https://www.linkedin.com/feed/update/urn:li:activity:7496144202356019200/,https://www.linkedin.com/company/yooz/posts/
Yooz,19,2026-08-16,29,Link/Article,6,0,1,7,We're #hiring a new Research Engineer (F/H) in Greater Montpellier Metropol,https://www.linkedin.com/feed/update/urn:li:activity:7494717780185862144/,https://www.linkedin.com/company/yooz/posts/
Yooz,20,2026-08-15,30,Link/Article,4,0,0,4,We're #hiring a new Technical Product Owner (F/H) in Greater Montpellier Me,https://www.linkedin.com/feed/update/urn:li:activity:7494355985826910208/,https://www.linkedin.com/company/yooz/posts/
Yooz,21,2026-08-09,36,Link/Article,7,0,1,8,"We're #hiring a new Digital Marketing Manager in Dallas, Texas. Apply today",https://www.linkedin.com/feed/update/urn:li:activity:7492179956911919104/,https://www.linkedin.com/company/yooz/posts/
Yooz,22,2026-08-08,37,Link/Article,2,0,2,4,"We're #hiring a new SaaS Trainer in Coppell, Texas. Apply today or share th",https://www.linkedin.com/feed/update/urn:li:activity:7491820326809579520/,https://www.linkedin.com/company/yooz/posts/
Yooz,23,2026-08-01,44,Link/Article,8,0,3,11,We're #hiring a new Product Evangelist (F/H) in Greater Montpellier Metropo,https://www.linkedin.com/feed/update/urn:li:activity:7489280194776653824/,https://www.linkedin.com/company/yooz/posts/
Yooz,24,2026-07-26,50,Link/Article,6,0,0,6,We're #hiring a new Customer Marketing Specialist (F/H) - CDD in Greater Mo,https://www.linkedin.com/feed/update/urn:li:activity:7487107478510456832/,https://www.linkedin.com/company/yooz/posts/
Yooz,25,2026-07-25,51,Link/Article,7,1,2,10,"We're #hiring a new AP Automation Support Specialist in Coppell, Texas. App",https://www.linkedin.com/feed/update/urn:li:activity:7486748676527312896/,https://www.linkedin.com/company/yooz/posts/
Yooz,26,2026-07-19,57,Link/Article,3,0,2,5,We're #hiring a new Comptable (F/H) - bilingue anglais in Greater Montpelli,https://www.linkedin.com/feed/update/urn:li:activity:7484567836259082240/,https://www.linkedin.com/company/yooz/posts/
Yooz,27,2026-07-18,58,Link/Article,3,0,3,6,"We're #hiring a new Office Manager Junior (F/H) - Alternance in Aimargues,",https://www.linkedin.com/feed/update/urn:li:activity:7484209767490596864/,https://www.linkedin.com/company/yooz/posts/
Yooz,28,2026-07-18,58,Video,0,0,0,0,The final stretch ⚽ Tomorrow is the World Cup final. And it’s also the end,https://www.linkedin.com/feed/update/urn:li:activity:7484147967004860416/,https://www.linkedin.com/company/yooz/posts/
Yooz,29,2026-07-16,60,Video,0,0,0,0,"Semi-finals. The last four ⚽ The end of the road for many. At Yooz, we’re a",https://www.linkedin.com/feed/update/urn:li:activity:7483423192024244224/,https://www.linkedin.com/company/yooz/posts/
Yooz,30,2026-07-12,64,Link/Article,5,0,6,11,We're #hiring a new Field Marketing Specialist - CDD (F/H) in Greater Montp,https://www.linkedin.com/feed/update/urn:li:activity:7482035050478452736/,https://www.linkedin.com/company/yooz/posts/
Yooz,31,2026-07-11,65,Link/Article,1,0,1,2,We're #hiring a new Functional Test Engineer (F/H) in Greater Montpellier M,https://www.linkedin.com/feed/update/urn:li:activity:7481673201194938369/,https://www.linkedin.com/company/yooz/posts/
Yooz,32,2026-07-09,67,Video,1,0,0,1,The knockout stage begins ⚽ One defeat and it’s over. No room for error. In,https://www.linkedin.com/feed/update/urn:li:activity:7480886474352136192/,https://www.linkedin.com/company/yooz/posts/
