company,posts,reactions,comments,reposts,avg_engagement_per_post,posts_per_week,newest_post,oldest_post,top_format,top_format_share_pct,format_mix
Stripe,50,15143,1377,883,348.1,3.2,2026-09-09,2026-05-21,Video,48,Video 24; Image 11; Link/Article 7; Text 6; Carousel 2
Zoho Expense,50,4822,77,608,110.1,1.5,2026-09-09,2026-01-23,Video,42,Video 21; Link/Article 13; Multi-image 9; Image 7
Payhawk,50,4679,139,219,100.7,3.5,2026-09-10,2026-06-03,Image,38,Image 19; Video 18; Multi-image 8; Link/Article 3; Carousel 2
Incedo Inc,50,4513,127,75,94.3,3.8,2026-09-10,2026-06-11,Image,38,Image 19; Carousel 18; Video 10; Multi-image 3
Continia Software A/S,50,3214,76,101,67.8,1.9,2026-09-04,2026-02-27,Multi-image,40,Multi-image 20; Image 19; Carousel 8; Video 3
Yavrio,50,2764,241,47,61.0,2.5,2026-09-08,2026-04-22,Image,56,Image 28; Multi-image 13; Video 5; Carousel 3; Text 1
SignUp Software,50,2390,65,330,55.7,1.2,2026-08-13,2025-10-17,Image,60,Image 30; Multi-image 7; Event 4; Video 4; Link/Article 2; Text 2; Carousel 1
Pleo,50,2004,73,234,46.2,3.5,2026-09-10,2026-06-02,Video,28,Video 14; Carousel 13; Link/Article 12; Multi-image 5; Image 3; Text 3
Stampli,50,1728,77,382,43.7,2.0,2026-09-09,2026-03-18,Link/Article,58,Link/Article 29; Video 8; Image 7; Text 3; Multi-image 2; Carousel 1
Rydoo,50,1724,129,150,40.1,4.5,2026-09-10,2026-06-25,Image,24,Image 12; Video 10; Multi-image 8; Carousel 7; Link/Article 6; Text 6; Event 1
DocuWare,50,1511,34,325,37.4,6.7,2026-09-10,2026-07-20,Image,52,Image 26; Link/Article 7; Carousel 6; Video 6; Multi-image 4; Text 1
Truvio,50,1309,34,160,30.1,8.1,2026-09-09,2026-07-28,Image,68,Image 34; Multi-image 6; Event 4; Text 3; Video 3
Medius,50,1276,20,164,29.2,3.4,2026-09-09,2026-05-28,Image,44,Image 22; Link/Article 10; Carousel 9; Multi-image 5; Text 2; Poll 1; Video 1
Dooap,50,1250,101,94,28.9,1.5,2026-09-09,2026-01-19,Image,42,Image 21; Video 13; Link/Article 5; Multi-image 5; Text 5; Carousel 1
Rillion,50,1206,122,93,28.4,3.9,2026-09-10,2026-06-12,Video,34,Video 17; Image 11; Link/Article 9; Carousel 8; Multi-image 3; Poll 1; Text 1
Tipalti,50,1284,50,47,27.6,5.6,2026-09-09,2026-07-08,Image,38,Image 19; Video 16; Link/Article 6; Carousel 5; Multi-image 4
Qvalia,16,321,17,38,23.5,0.3,2026-09-04,2025-09-24,Image,88,Image 14; Link/Article 1; Multi-image 1
Expensify,50,624,73,82,15.6,2.4,2026-09-10,2026-04-15,Image,56,Image 28; Link/Article 7; Video 7; Text 6; Carousel 2
AMC Banking,22,287,12,16,14.3,0.5,2026-09-07,2025-10-14,Link/Article,32,Link/Article 7; Image 5; Video 4; Text 3; Carousel 1; Event 1; Multi-image 1
B2Brouter,50,443,39,83,11.3,4.9,2026-09-10,2026-07-01,Carousel,30,Carousel 15; Link/Article 12; Image 11; Text 10; Multi-image 1; Poll 1
Equisys (Zetadocs),44,193,3,90,6.5,0.8,2026-09-08,2025-09-10,Image,77,Image 34; Link/Article 5; Text 2; Carousel 1; Multi-image 1; Video 1
Fidesic,50,111,18,11,2.8,5.4,2026-09-03,2026-06-30,Image,50,Image 25; Link/Article 20; Video 4; Multi-image 1
