company,posts,reactions,comments,reposts,avg_engagement_per_post,posts_per_week,newest_post,oldest_post,top_format,top_format_share_pct,format_mix
Yooz,50,280,9,80,7.4,3.1,2026-09-13,2026-05-23,Link/Article,64,Link/Article 32; Video 13; Image 4; Multi-image 1
AvidXchange,50,3064,191,415,73.4,1.7,2026-09-08,2026-02-11,Image,26,Image 13; Multi-image 10; Video 10; Repost 8; Carousel 7; Link/Article 2
Pagero,50,4969,384,2121,149.5,3.0,2026-09-14,2026-05-20,Image,38,Image 19; Video 19; Multi-image 4; Link/Article 3; Repost 3; Carousel 1; Text 1
Compleat Software,50,222,4,21,4.9,1.3,2026-09-10,2025-12-18,Image,64,Image 32; Video 8; Link/Article 6; Repost 2; Multi-image 1; Poll 1
Tungsten Automation,50,795,12,192,20.0,13.5,2026-09-14,2026-08-19,Image,76,Image 38; Video 3; Carousel 2; Multi-image 2; Text 2; Link/Article 1; Poll 1; Repost 1
onPhase,50,873,37,126,20.7,2.2,2026-09-10,2026-04-01,Image,32,Image 16; Video 11; Carousel 8; Repost 7; Multi-image 3; Event 2; Link/Article 2; Text 1
MineralTree,50,6999,67,629,153.9,2.0,2026-09-14,2026-03-19,Video,22,Video 11; Repost 10; Image 9; Multi-image 9; Carousel 8; Link/Article 3
Lasernet (Formpipe),50,1546,99,61,34.1,1.9,2026-09-09,2026-03-10,Image,72,Image 36; Multi-image 6; Repost 5; Video 2; Link/Article 1
Dime Scheduler,18,263,10,18,16.2,0.5,2026-05-27,2025-09-19,Image,50,Image 9; Multi-image 4; Video 2; Carousel 1; Link/Article 1; Repost 1
Acubiz,50,2054,62,27,42.9,1.4,2026-09-11,2026-01-09,Image,48,Image 24; Video 10; Carousel 9; Link/Article 3; Multi-image 3; Repost 1
