snapshot_date,channel,handle,ours,subs,monthly_views,monthly_views_label,monthly_subs,earnings
2026-06-02,Medius,@mediusapautomation,no,326,147000,+147K,+10,$37-$589
2026-06-02,Stampli,@stampli,no,1.78K,57000,+57K,0,$14-$226
2026-06-02,Yooz,@why_yooz,no,199,5100,+5.1K,+6,$1-$21
2026-06-02,Tipalti,@tipaltivideos,no,3.24K,1600,+1.6K,+10,$0-$6
2026-06-02,Continia,@continiasoftware,yes,1.45K,-7300,-7.3K,+10,$0
2026-06-02,Equisys (Zetadocs),@equisysplc,no,128,227,+227,+1,$0-$1
2026-06-02,Dooap,@dooap,no,60,0,0,0,$0
2026-06-08,Medius,@mediusapautomation,no,327,116692,+117K,+7,$29-$467
2026-06-08,Stampli,@stampli,no,1.78K,59046,+59K,0,$15-$236
2026-06-08,Yooz,@why_yooz,no,200,5497,+5.5K,+4,$1-$22
2026-06-08,Tipalti,@tipaltivideos,no,3.24K,1663,+1.7K,+10,$0-$7
2026-06-08,Continia,@continiasoftware,yes,1.46K,-726765,-727K,+20,$0
2026-06-08,Equisys (Zetadocs),@equisysplc,no,128,246,+246,+1,$0-$1
2026-06-08,Dooap,@dooap,no,60,30,+30,0,$0
2026-06-11,Medius,@mediusapautomation,no,328,90000,+90K,+8,$23-$362
2026-06-11,Stampli,@stampli,no,1.78K,61000,+61K,0,$15-$244
2026-06-11,Yooz,@why_yooz,no,201,9800,+9.8K,+7,$2-$39
2026-06-11,Tipalti,@tipaltivideos,no,3.24K,1800,+1.8K,0,$0-$7
2026-06-11,Continia,@continiasoftware,yes,1.46K,-742000,-742K,+20,$0
2026-06-11,Equisys (Zetadocs),@equisysplc,no,128,276,+276,0,$0-$1
2026-06-11,Dooap,@dooap,no,60,38,+38,0,$0
2026-06-18,Medius,@mediusapautomation,no,336,53173,+53K,+14,$13-$213
2026-06-18,Stampli,@stampli,no,1.78K,62346,+62K,0,$16-$249
2026-06-18,Yooz,@why_yooz,no,202,9313,+9.3K,+5,$2-$37
2026-06-18,Tipalti,@tipaltivideos,no,3.25K,1804,+1.8K,0,$0-$7
2026-06-18,Continia,@continiasoftware,yes,1.46K,8427,+8.4K,+20,$2-$34
2026-06-18,Equisys (Zetadocs),@equisysplc,no,128,258,+258,0,$0-$1
2026-06-18,Dooap,@dooap,no,60,82,+82,0,$0
2026-06-29,Medius,@mediusapautomation,no,340,13185,+13K,+15,$3-$53
2026-06-29,Stampli,@stampli,no,1.78K,62817,+63K,0,$16-$251
2026-06-29,Yooz,@why_yooz,no,202,8913,+8.9K,+4,$2-$36
2026-06-29,Tipalti,@tipaltivideos,no,3.25K,2293,+2.3K,+10,$1-$9
2026-06-29,Continia,@continiasoftware,yes,1.47K,7910,+7.9K,+20,$2-$32
2026-06-29,Equisys (Zetadocs),@equisysplc,no,129,227,+227,+1,$0-$1
2026-06-29,Dooap,@dooap,no,60,105,+105,0,$0
2026-06-29,AMC Banking,AMCBanking,no,131,74,+74,0,$0
2026-06-29,ExFlow (Truvio),SignUp Software,no,1.52K,246,+246,0,$0-$1
2026-06-29,AvidXchange,@avidxchange,no,3.49K,147,+147,-10,$0-$1
2026-06-29,Compleat,@compleatp2p,no,175,320,+320,+2,$0-$1
2026-06-29,Tungsten Automation,@tungstenautomation,no,3.58K,6899,+6.9K,0,$2-$28
2026-06-29,onPhase,@onphase,no,10,9,+9,0,$0
2026-06-29,Dime Scheduler,Dime Software,no,83,56,+56,0,$0
2026-06-29,Qvalia,Qvalia,no,18,4,+4,0,$0
2026-06-29,Acubiz,@acubiztv,no,66,55,+55,-1,$0
2026-06-29,B2Brouter,@b2brouter,no,1.47K,143080,+143K,+50,$36-$572
2026-07-10,Medius,@mediusapautomation,no,340,2000,+2K,+13,$0-$8
2026-07-10,Stampli,@stampli,no,1.78K,61000,+61K,0,$15-$246
2026-07-10,Yooz,@why_yooz,no,202,4200,+4.2K,+1,$1-$17
2026-07-10,Tipalti,@tipaltivideos,no,3.26K,2900,+2.9K,+20,$1-$12
2026-07-10,Continia,@continiasoftware,yes,1.48K,7700,+7.7K,+20,$2-$31
2026-07-10,Equisys (Zetadocs),@equisysplc,no,130,228,+228,+2,$0-$1
2026-07-10,Dooap,@dooap,no,60,124,+124,0,$0
2026-07-10,AMC Banking,AMCBanking,no,131,141,+141,0,$0-$1
2026-07-10,ExFlow (Truvio),SignUp Software,no,1.52K,490,+490,0,$0-$2
2026-07-10,AvidXchange,@avidxchange,no,3.49K,145,+145,-10,$0-$1
2026-07-10,Compleat,@compleatp2p,no,176,216,+216,+3,$0-$1
2026-07-10,Tungsten Automation,@tungstenautomation,no,3.58K,6700,+6.7K,+10,$2-$27
2026-07-10,onPhase,@onphase,no,10,12,+12,0,$0
2026-07-10,Dime Scheduler,Dime Software,no,83,123,+123,0,$0
2026-07-10,Qvalia,Qvalia,no,18,7,+7,0,$0
2026-07-10,Acubiz,@acubiztv,no,66,40,+40,-1,$0
2026-07-10,B2Brouter,@b2brouter,no,1.47K,132000,+132K,+40,$33-$527
2026-08-31,Medius,@mediusapautomation,no,349,7700,+7.7K,+6,$2-$31
2026-08-31,Stampli,@stampli,no,1.78K,51000,+51K,0,$13-$203
2026-08-31,Yooz,@why_yooz,no,206,764,+764,+2,$0-$3
2026-08-31,Tipalti,@tipaltivideos,no,3.28K,2200,+2.2K,+10,$1-$9
2026-08-31,Continia,@continiasoftware,yes,1.5K,6700,+6.7K,+10,$2-$27
2026-08-31,Equisys (Zetadocs),@equisysplc,no,131,-584,-584,0,$0
2026-08-31,Dooap,@dooap,no,62,122,+122,0,$0
2026-08-31,AMC Banking,AMCBanking,no,133,238,+238,+2,$0-$1
2026-08-31,ExFlow (Truvio),SignUp Software,no,1.52K,699,+699,0,$0-$3
2026-08-31,AvidXchange,@avidxchange,no,3.48K,98,+98,-10,$0
2026-08-31,Compleat,@compleatp2p,no,178,197,+197,+1,$0-$1
2026-08-31,Tungsten Automation,@tungstenautomation,no,3.6K,-14000,-14K,0,$0
2026-08-31,onPhase,@onphase,no,11,43,+43,+1,$0
