snapshot_date,period,longform_uploads,longform_views,shorts_uploads,shorts_views
2026-06-08,7D,,,,
2026-06-08,28D,,,,
2026-06-08,3M,,,,
2026-06-08,1Y,,,,
2026-06-08,YTD,,,,
2026-06-09,7D,0,0,0,0
2026-06-09,28D,0,0,4,415
2026-06-09,3M,17,923,16,1872
2026-06-09,1Y,40,10439,16,1872
2026-06-09,YTD,22,2919,16,1872
2026-06-11,7D,0,0,0,0
2026-06-11,28D,0,0,4,415
2026-06-11,3M,17,923,16,1872
2026-06-11,1Y,40,10440,16,1872
2026-06-11,YTD,22,2920,16,1872
2026-06-18,7D,0,0,0,0
2026-06-18,28D,0,0,2,160
2026-06-18,3M,17,1002,16,1907
2026-06-18,1Y,40,10773,16,1907
2026-06-18,YTD,22,3102,16,1907
2026-07-10,7D,0,0,0,0
2026-07-10,28D,0,0,0,0
2026-07-10,3M,17,1164,16,1963
2026-07-10,1Y,38,11052,16,1963
2026-07-10,YTD,22,3516,16,1963
2026-08-31,7D,0,0,0,0
2026-08-31,28D,0,0,0,0
2026-08-31,3M,0,0,0,0
2026-08-31,1Y,38,12792,16,2006
2026-08-31,YTD,22,4407,16,2006
